image, english, telugu, sanskrit, comment
ant.jpg, Ant, చీమ
honeybee.jpg, Honeybee, తేనెటీగ
fly.jpg, Fly, ఈగ
mosquito.jpg, Mosquito, దోమ
bedbug.jpg, Bed Bug, నల్లి
grasshopper.jpg, Grasshopper, మిడత
butterfly.jpg, Butterfly, సీతాకోక చిలుక
cockroach.webp, Cockroach, బొద్దింక
lizard.webp, Lizard, బల్లి
camelion.jpg, Camelion, ఊసరవిల్లి
spider, Spider, సాలిపురుగు / సాలీడు
centipede.jpg, Centipede, గొంగళి పురుగు
scorpion.jpg, Scorpion, తేలు
dragonfly.jpg, Dragonfly, తునీగ
cricket-bug.jpg, Cricket, కీచురాయి
